,acousticness,added_at,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,trackName,track_href,type,uri,valence
767,0.243,2018-01-22T16:05:59Z,https://api.spotify.com/v1/audio-analysis/6Wgh8KuahUMTr1EGQAsTGZ,0.702,235500,0.673,6Wgh8KuahUMTr1EGQAsTGZ,0.0,5,0.1,-4.475,1,0.0495,92.99,4,Love You Better,https://api.spotify.com/v1/tracks/6Wgh8KuahUMTr1EGQAsTGZ,audio_features,spotify:track:6Wgh8KuahUMTr1EGQAsTGZ,0.751
768,0.00216,2016-11-08T01:08:34Z,https://api.spotify.com/v1/audio-analysis/07VBqWH6NG8L2ad3l84UKk,0.353,205280,0.686,07VBqWH6NG8L2ad3l84UKk,0.0,7,0.123,-5.704,0,0.0534,94.47,4,R.I.P. 2 My Youth,https://api.spotify.com/v1/tracks/07VBqWH6NG8L2ad3l84UKk,audio_features,spotify:track:07VBqWH6NG8L2ad3l84UKk,0.177
769,0.188,2015-11-04T18:42:04Z,https://api.spotify.com/v1/audio-analysis/5qIQvRXIr4nOlEGJndJken,0.591,227346,0.721,5qIQvRXIr4nOlEGJndJken,0.0,9,0.092,-7.718,0,0.308,180.215,4,We Are the Artist,https://api.spotify.com/v1/tracks/5qIQvRXIr4nOlEGJndJken,audio_features,spotify:track:5qIQvRXIr4nOlEGJndJken,0.591
770,0.0423,2017-01-15T17:47:34Z,https://api.spotify.com/v1/audio-analysis/1zJCdVjfVzdsNjVQtMH1tD,0.677,224549,0.747,1zJCdVjfVzdsNjVQtMH1tD,0.00134,7,0.0904,-3.173,0,0.0341,125.084,4,Drifting Away,https://api.spotify.com/v1/tracks/1zJCdVjfVzdsNjVQtMH1tD,audio_features,spotify:track:1zJCdVjfVzdsNjVQtMH1tD,0.428
771,0.0186,2016-08-06T02:22:53Z,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,0.757,251467,0.672,40YcuQysJ0KlGQTeGUosTC,0.0,0,0.158,-6.524,0,0.0955,111.996,4,"Me, Myself & I",https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,audio_features,spotify:track:40YcuQysJ0KlGQTeGUosTC,0.382
772,0.299,2015-06-15T14:45:36Z,https://api.spotify.com/v1/audio-analysis/7uzudGwu8EG5deuFD7EEJm,0.743,198000,0.564,7uzudGwu8EG5deuFD7EEJm,0.000693,5,0.109,-8.761,1,0.045,120.012,4,How Hard I Try,https://api.spotify.com/v1/tracks/7uzudGwu8EG5deuFD7EEJm,audio_features,spotify:track:7uzudGwu8EG5deuFD7EEJm,0.505
773,0.17,2017-03-31T15:00:26Z,https://api.spotify.com/v1/audio-analysis/6nXGBeHSaAAVRMZ6fxJMkR,0.455,211573,0.789,6nXGBeHSaAAVRMZ6fxJMkR,0.00566,3,0.172,-4.222,1,0.0429,95.477,4,Ultralife,https://api.spotify.com/v1/tracks/6nXGBeHSaAAVRMZ6fxJMkR,audio_features,spotify:track:6nXGBeHSaAAVRMZ6fxJMkR,0.459
774,0.000767,2016-03-29T05:55:40Z,https://api.spotify.com/v1/audio-analysis/6phyrxHcUpQ1BRZ8yXCUWB,0.587,224013,0.934,6phyrxHcUpQ1BRZ8yXCUWB,0.00746,11,0.565,-3.879,0,0.0401,107.995,4,I Wish (My Taylor Swift),https://api.spotify.com/v1/tracks/6phyrxHcUpQ1BRZ8yXCUWB,audio_features,spotify:track:6phyrxHcUpQ1BRZ8yXCUWB,0.694
775,0.00185,2015-01-18T22:28:26Z,https://api.spotify.com/v1/audio-analysis/0RDobfQ4AtlQ4EBKkiQkln,0.566,238834,0.892,0RDobfQ4AtlQ4EBKkiQkln,0.0136,8,0.219,-4.715,1,0.062,89.984,4,Overdose,https://api.spotify.com/v1/tracks/0RDobfQ4AtlQ4EBKkiQkln,audio_features,spotify:track:0RDobfQ4AtlQ4EBKkiQkln,0.768
776,0.0586,2015-03-20T21:51:18Z,https://api.spotify.com/v1/audio-analysis/3rDDKOZbYKC80OWo5XTn7B,0.593,233987,0.833,3rDDKOZbYKC80OWo5XTn7B,2.48e-06,11,0.0866,-3.197,0,0.0573,80.015,4,Long Way Down,https://api.spotify.com/v1/tracks/3rDDKOZbYKC80OWo5XTn7B,audio_features,spotify:track:3rDDKOZbYKC80OWo5XTn7B,0.45
