acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0.276,https://api.spotify.com/v1/audio-analysis/2SGBEDwsOAOAHrrdAd304i,The Kooks,0.431,169307,0.81,2SGBEDwsOAOAHrrdAd304i,0.0,7,0.0906,-5.379,1,She Moves In Her Own Way,0.066,76.412,4,https://api.spotify.com/v1/tracks/2SGBEDwsOAOAHrrdAd304i,audio_features,spotify:track:2SGBEDwsOAOAHrrdAd304i,0.784
0.00108,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,The Killers,0.33,222587,0.936,7oK9VyNzrYvRFo7nQEYkWN,0.0,1,0.0926,-3.66,1,Mr. Brightside,0.0917,148.112,4,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,audio_features,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,0.218
0.000728,https://api.spotify.com/v1/audio-analysis/6jrMVRReY24qzCfe1BRrww,Two Door Cinema Club,0.556,191400,0.763,6jrMVRReY24qzCfe1BRrww,6.79e-06,6,0.071,-3.952,0,What You Know,0.0413,138.986,4,https://api.spotify.com/v1/tracks/6jrMVRReY24qzCfe1BRrww,audio_features,spotify:track:6jrMVRReY24qzCfe1BRrww,0.821
0.00076,https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU,MGMT,0.451,302840,0.931,1jJci4qxiYcOHhQR247rEU,0.0049,9,0.361,-3.871,1,Kids,0.0719,122.961,4,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU,audio_features,spotify:track:1jJci4qxiYcOHhQR247rEU,0.182
0.364,https://api.spotify.com/v1/audio-analysis/1o22EcqsCANhwYdaNOSdwS,alt-J,0.702,181400,0.607,1o22EcqsCANhwYdaNOSdwS,0.0263,2,0.123,-6.509,1,Tessellate,0.0405,116.961,4,https://api.spotify.com/v1/tracks/1o22EcqsCANhwYdaNOSdwS,audio_features,spotify:track:1o22EcqsCANhwYdaNOSdwS,0.436
0.00178,https://api.spotify.com/v1/audio-analysis/7e8utCy2JlSB8dRHKi49xM,Arctic Monkeys,0.646,173493,0.813,7e8utCy2JlSB8dRHKi49xM,2.26e-05,6,0.144,-5.29,0,Fluorescent Adolescent,0.0288,112.115,4,https://api.spotify.com/v1/tracks/7e8utCy2JlSB8dRHKi49xM,audio_features,spotify:track:7e8utCy2JlSB8dRHKi49xM,0.834
0.0976,https://api.spotify.com/v1/audio-analysis/57i3M29DWoo7RDk0Tf0LZG,Matt and Kim,0.363,171333,0.802,57i3M29DWoo7RDk0Tf0LZG,0.000356,9,0.167,-4.881,1,Daylight,0.0394,101.31,4,https://api.spotify.com/v1/tracks/57i3M29DWoo7RDk0Tf0LZG,audio_features,spotify:track:57i3M29DWoo7RDk0Tf0LZG,0.648
0.142,https://api.spotify.com/v1/audio-analysis/7psPPGwhFzP3pyOcb3ivcT,Vampire Weekend,0.644,202667,0.811,7psPPGwhFzP3pyOcb3ivcT,0.000629,11,0.169,-7.681,1,Unbelievers,0.0499,154.903,4,https://api.spotify.com/v1/tracks/7psPPGwhFzP3pyOcb3ivcT,audio_features,spotify:track:7psPPGwhFzP3pyOcb3ivcT,0.837
0.0013,https://api.spotify.com/v1/audio-analysis/1gR9y60Vr70iUtfC61JIXH,Circa Waves,0.42,192120,0.95,1gR9y60Vr70iUtfC61JIXH,2.02e-05,4,0.221,-4.595,1,T-Shirt Weather,0.073,160.026,4,https://api.spotify.com/v1/tracks/1gR9y60Vr70iUtfC61JIXH,audio_features,spotify:track:1gR9y60Vr70iUtfC61JIXH,0.451
0.0113,https://api.spotify.com/v1/audio-analysis/4AyoAGuhE8gydBPrczuhbl,Atlas Genius,0.721,217387,0.822,4AyoAGuhE8gydBPrczuhbl,7.01e-05,7,0.0898,-4.843,1,Trojans,0.0391,140.002,4,https://api.spotify.com/v1/tracks/4AyoAGuhE8gydBPrczuhbl,audio_features,spotify:track:4AyoAGuhE8gydBPrczuhbl,0.536
