acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0178,https://api.spotify.com/v1/audio-analysis/11BPfwVbB7vok7KfjBeW4k,0.525,443478,0.699,11BPfwVbB7vok7KfjBeW4k,8.8e-05,9,0.0888,-4.571,1,0.0353,0,92.011,4,https://api.spotify.com/v1/tracks/11BPfwVbB7vok7KfjBeW4k,audio_features,spotify:track:11BPfwVbB7vok7KfjBeW4k,0.195
0.0401,https://api.spotify.com/v1/audio-analysis/1kgHoys2ajgeMxiMRlq9Lm,0.65,285946,0.831,1kgHoys2ajgeMxiMRlq9Lm,0.913,10,0.102,-7.595,0,0.0402,0,129.993,4,https://api.spotify.com/v1/tracks/1kgHoys2ajgeMxiMRlq9Lm,audio_features,spotify:track:1kgHoys2ajgeMxiMRlq9Lm,0.515
0.000811,https://api.spotify.com/v1/audio-analysis/1d54uXR8wyzGRIerIwbG7n,0.499,271059,0.652,1d54uXR8wyzGRIerIwbG7n,0.874,5,0.0497,-5.95,1,0.0432,0,169.964,4,https://api.spotify.com/v1/tracks/1d54uXR8wyzGRIerIwbG7n,audio_features,spotify:track:1d54uXR8wyzGRIerIwbG7n,0.36
0.0158,https://api.spotify.com/v1/audio-analysis/47hHk5gLQV34GRb1Az7qkI,0.58,380282,0.692,47hHk5gLQV34GRb1Az7qkI,0.591,0,0.117,-8.011,0,0.0374,0,141.977,4,https://api.spotify.com/v1/tracks/47hHk5gLQV34GRb1Az7qkI,audio_features,spotify:track:47hHk5gLQV34GRb1Az7qkI,0.0539
0.0327,https://api.spotify.com/v1/audio-analysis/6EfhXbFmqapdZUjsAhWr9E,0.738,390513,0.552,6EfhXbFmqapdZUjsAhWr9E,0.542,10,0.664,-8.907,1,0.0395,0,127.94,4,https://api.spotify.com/v1/tracks/6EfhXbFmqapdZUjsAhWr9E,audio_features,spotify:track:6EfhXbFmqapdZUjsAhWr9E,0.0968
0.0284,https://api.spotify.com/v1/audio-analysis/4LJXGkuHpOoiImHhWde3yt,0.578,299125,0.817,4LJXGkuHpOoiImHhWde3yt,0.925,11,0.343,-5.166,1,0.0397,0,171.99,4,https://api.spotify.com/v1/tracks/4LJXGkuHpOoiImHhWde3yt,audio_features,spotify:track:4LJXGkuHpOoiImHhWde3yt,0.35
0.00574,https://api.spotify.com/v1/audio-analysis/16d5nuL4xktJSBVxTDEUyN,0.452,222320,0.704,16d5nuL4xktJSBVxTDEUyN,0.918,5,0.0983,-9.183,1,0.0388,0,126.616,5,https://api.spotify.com/v1/tracks/16d5nuL4xktJSBVxTDEUyN,audio_features,spotify:track:16d5nuL4xktJSBVxTDEUyN,0.205
0.0149,https://api.spotify.com/v1/audio-analysis/4ZHTYruYS6HnpmyFUNbLId,0.543,391413,0.489,4ZHTYruYS6HnpmyFUNbLId,0.844,1,0.093,-7.64,1,0.0399,0,175.007,4,https://api.spotify.com/v1/tracks/4ZHTYruYS6HnpmyFUNbLId,audio_features,spotify:track:4ZHTYruYS6HnpmyFUNbLId,0.0462
0.00598,https://api.spotify.com/v1/audio-analysis/3URtrx2jjdAPhLH4DsMjgS,0.549,265000,0.832,3URtrx2jjdAPhLH4DsMjgS,0.00616,0,0.0888,-6.864,1,0.0396,0,140.025,4,https://api.spotify.com/v1/tracks/3URtrx2jjdAPhLH4DsMjgS,audio_features,spotify:track:3URtrx2jjdAPhLH4DsMjgS,0.216
0.00102,https://api.spotify.com/v1/audio-analysis/4lm4ELAiOmMH80Nderx8v6,0.399,287426,0.908,4lm4ELAiOmMH80Nderx8v6,0.0,7,0.332,-5.986,1,0.0502,0,173.938,4,https://api.spotify.com/v1/tracks/4lm4ELAiOmMH80Nderx8v6,audio_features,spotify:track:4lm4ELAiOmMH80Nderx8v6,0.133
